CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
MDAMB175VII_BREAST	MDA-MB-175-VII		F	breast	carcinoma	ductal_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G03_436510	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D07_437294	yes	
MDAMB231_BREAST	MDA-MB-231		F	breast	carcinoma	NS		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A01_241042	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G12_246776	yes	yes
MDAMB361_BREAST	MDA-MB-361		F	breast	carcinoma	NS		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C08_383600	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F11_335328	yes	yes
MDAMB415_BREAST	MDA-MB-415		F	breast	carcinoma	NS		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H09_296174	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C09_335252	yes	yes
MDAMB436_BREAST	MDA-MB-436		F	breast	carcinoma	NS		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C09_383596	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F10_335326	yes	yes
MDAMB453_BREAST	MDA-MB-453		F	breast	carcinoma	NS		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H10_241036	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D12_256096	yes	yes
MDAMB468_BREAST	MDA-MB-468		F	breast	carcinoma	NS		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A02_257600	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F07_246742	yes	yes
MORCPR_LUNG	MOR/CPR			lung	carcinoma	adenocarcinoma		ECACC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A02_383724	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A02_335190	yes	yes
NCIH1048_LUNG	NCI-H1048	H1048	F	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A12_454764	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A11_464610	yes	yes
NCIH1092_LUNG	NCI-H1092	H1092	M	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D11_569548	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G12_542958	yes	yes
NCIH1105_LUNG	NCI-H1105	H1105	M	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E03_569422	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B09_542810	yes	yes
NCIH1155_LUNG	NCI-H1155	H1155	M	lung	carcinoma	large_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D10_296080	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A09_335204	yes	
NCIH1184_LUNG	NCI-H1184	H1184 | H-1184	M	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A12_436618	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B04_464598	yes	yes
NCIH1299_LUNG	NCI-H1299	H1299	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E09_257710	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A01_335188	yes	yes
NCIH1339_LUNG	NCI-H1339	H-1339 | H1339	F	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D02_569406	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F01_698604	yes	yes
NCIH1341_LUNG	NCI-H1341	H1341	F	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E04_436560	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G08_437374	yes	yes
NCIH1355_LUNG	NCI-H1355	H1355	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_H09_383782	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C04_437326	yes	yes
NCIH1373_LUNG	NCI-H1373	H1373	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D12_454650	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D05_464546	yes	yes
NCIH1385_LUNG	NCI-H1385	H1385	F	lung	carcinoma	squamous_cell_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B04_523612	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F10_698740	yes	yes
NCIH1395_LUNG	NCI-H1395	H1395	F	lung	carcinoma	adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G03_296138	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A10_437334	yes	
NCIH1435_LUNG	NCI-H1435	H1435	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A03_474622	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D03_464550	yes	yes
NCIH1436_LUNG	NCI-H1436	H1436	M	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E04_569528	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E10_698730	yes	yes
NCIH1437_LUNG	NCI-H1437	H1437	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B11_383748	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E05_335292	yes	yes
NCIH146_LUNG	NCI-H146	H146	M	lung	carcinoma	small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G08_296148	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D01_335260	yes	yes
NCIH1563_LUNG	NCI-H1563	H1563	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B05_383744	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C11_335256	yes	yes
NCIH1568_LUNG	NCI-H1568	H1568	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A08_383764	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C08_335250	yes	yes
NCIH1573_LUNG	NCI-H1573	H1573	F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F11_436456	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B08_437530	yes	yes
NCIH1581_LUNG	NCI-H1581	H1581	M	lung	carcinoma	large_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_F01_296110	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B07_335224	yes	yes
NCIH1618_LUNG	NCI-H1618	H1618	F	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_B03_454592	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G01_464678	yes	yes
NCIH1623_LUNG	NCI-H1623	H1623	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E02_454662	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672	yes	yes
NCIH1648_LUNG	NCI-H1648	H1648	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C12_454632	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F05_437444	yes	yes
NCIH1650_LUNG	NCI-H1650	H1650	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B09_383752	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890	yes	yes
NCIH1651_LUNG	NCI-H1651	H1651	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G01_436506	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200	yes	yes
NCIH1666_LUNG	NCI-H1666	H1666	F	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G07_436502	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202	yes	yes
NCIH1693_LUNG	NCI-H1693	H1693	F	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F11_454698	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F07_437440	yes	yes
NCIH1694_LUNG	NCI-H1694	H1694	M	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A03_436582	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_E06_592982	yes	yes
NCIH1703_LUNG	NCI-H1703	H1703	M	lung	carcinoma	adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E03_296090	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220	yes	yes
NCIH1734_LUNG	NCI-H1734	H1734	F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G10_436496	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256	yes	yes
NCIH1755_LUNG	NCI-H1755	H1755	F	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F08_454692	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556	yes	yes
NCIH1781_LUNG	NCI-H1781	H1781	F	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G04_296140	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C03_335240	yes	yes
NCIH1792_LUNG	NCI-H1792	H1792	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D04_383692	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308	yes	yes
NCIH1793_LUNG	NCI-H1793	H1793	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B10_383746	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058	yes	yes
NCIH1836_LUNG	NCI-H1836	H1836	M	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E05_454672	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H10_464632	yes	yes
NCIH1838_LUNG	NCI-H1838	H1838	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E04_454658	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626	yes	yes
NCIH1869_LUNG	NCI-H1869	H1869	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A05_474768	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G02_698552	yes	yes
NCIH1876_LUNG	NCI-H1876	H1876	M	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E05_569520	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C10_542954	yes	yes
NCIH1915_LUNG	NCI-H1915	H1915	F	lung	carcinoma	large_cell_carcinoma		ATCC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E04_698784	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_B02_592946	yes	yes
NCIH1930_LUNG	NCI-H1930	H1930	M	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E01_454664	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D09_464716	yes	yes
NCIH1944_LUNG	NCI-H1944	H1944	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B11_474698	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C10_464560	yes	yes
NCIH1963_LUNG	NCI-H1963	H-1963 | H1963	M	lung	carcinoma	small_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D08_241128	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E05_256106	yes	yes
NCIH196_LUNG	NCI-H196	H196	M	lung	carcinoma	small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C03_240902	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C01_256050	yes	yes
NCIH1975_LUNG	NCI-H1975	H1975	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H03_241022	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034	yes	yes
NCIH2009_LUNG	NCI-H2009	H2009	F	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A04_474636	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A12_592882	yes	yes
NCIH2023_LUNG	NCI-H2023	H2023	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A10_454768	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F09_464670	yes	yes
NCIH2029_LUNG	NCI-H2029	H2029	F	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E05_436558	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E10_437262	yes	yes
NCIH2030_LUNG	NCI-H2030	H2030	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E08_240960	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764	yes	yes
NCIH2066_LUNG	NCI-H2066	H2066	F	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E03_436546	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F07_437210	yes	yes
NCIH2073_LUNG	NCI-H2073	H2073	F	lung	carcinoma	adenocarcinoma		ATCC		BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H02_464642	yes	yes
NCIH2081_LUNG	NCI-H2081	H2081	F	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D09_569554	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960	yes	yes
NCIH2085_LUNG	NCI-H2085	H2085	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D11_436570	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B12_464582	yes	
NCIH2087_LUNG	NCI-H2087	H2087	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D09_436574	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292	yes	yes
NCIH209_LUNG	NCI-H209	H-209 | H209	M	lung	carcinoma	small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A12_240872	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D07_256086	yes	yes
NCIH2106_LUNG	NCI-H2106	H2106	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H12_302140	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E12_437258	yes	yes
NCIH2110_LUNG	NCI-H2110	H2110		lung	carcinoma	non_small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C05_569446	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B05_578308	yes	yes
NCIH211_LUNG	NCI-H211	H211	F	lung	carcinoma	small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C06_240908	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A11_293300	yes	yes
NCIH2122_LUNG	NCI-H2122	H2122	F	lung	carcinoma	adenocarcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G02_240996	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662	yes	yes
NCIH2126_LUNG	NCI-H2126	H2126	M	lung	carcinoma	adenocarcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B02_523522	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892	yes	yes
NCIH2141_LUNG	NCI-H2141	H2141	M	lung	carcinoma	small_cell_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B03_523472	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A01_542800	yes	yes
NCIH2170_LUNG	NCI-H2170	H2170	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D09_257686	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148	yes	yes
NCIH2171_LUNG	NCI-H2171	H2171 | H-2171	M	lung	carcinoma	small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D03_240926	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D03_246686	yes	yes
NCIH2172_LUNG	NCI-H2172	H2172	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G09_569586	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A12_335210	yes	yes
NCIH2196_LUNG	NCI-H2196	H2196	M	lung	carcinoma	small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A10_257616	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F08_293414	yes	yes
NCIH2227_LUNG	NCI-H2227	H2227	M	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B03_436620	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A02_437560	yes	yes
NCIH2228_LUNG	NCI-H2228	H2228	F	lung	carcinoma	adenocarcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C10_241108	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084	yes	yes
NCIH226_LUNG	NCI-H226	H226	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G06_436504	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F02_437454	yes	yes
NCIH2286_LUNG	NCI-H2286	H2286	F	lung	carcinoma	small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D01_569440	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G04_578292	yes	yes
NCIH2291_LUNG	NCI-H2291	H2291	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H10_436434	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224	yes	yes
NCIH2342_LUNG	NCI-H2342	H2342	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G11_436494	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228	yes	yes
NCIH2347_LUNG	NCI-H2347	H2347	F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D01_436528	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206	yes	yes
NCIH23_LUNG	NCI-H23	H23	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D08_454648	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410	yes	yes
NCIH2405_LUNG	NCI-H2405	H2405	M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B12_474708	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340	yes	yes
NCIH2444_LUNG	NCI-H2444	H2444	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D12_257692	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F09_256138	yes	yes
NCIH292_LUNG	NCI-H292	H292 | H292	F	lung	carcinoma	mucoepidermoid_carcinoma		ATCC	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_A05_779628	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E04_698570	yes	
NCIH322_LUNG	NCI-H322	H322 | NCI-H322M	M	lung	carcinoma	adenocarcinoma	Identical lines: NCI-H322 and NCI-H3255 share high SNP identity	ECACC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H05_436448	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A09_437570	yes	
NCIH3255_LUNG	NCI-H3255	H3255	F	lung	carcinoma	adenocarcinoma	Identical lines: NCI-H322 and NCI-H3255 share high SNP identity	Academic Lab	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C07_779624	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C12_780296	yes	yes
NCIH358_LUNG	NCI-H358	H358	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B06_383736	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254	yes	yes
NCIH441_LUNG	NCI-H441	H441	M	lung	carcinoma	adenocarcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E05_240954	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316	yes	yes
NCIH446_LUNG	NCI-H446	H446	M	lung	carcinoma	small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B03_257626	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H05_246786	yes	yes
NCIH460_LUNG	NCI-H460	H460	M	lung	carcinoma	large_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H05_241218	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B01_335212	yes	yes
NCIH510_LUNG	NCI-H510	H510A | H510 | NCI-H510A	M	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D12_436552	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F05_437214	yes	yes
NCIH520_LUNG	NCI-H520	H520	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D02_241116	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780	yes	yes
NCIH522_LUNG	NCI-H522	H522	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B08_296028	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214	yes	yes
NCIH524_LUNG	NCI-H524	H524	M	lung	carcinoma	small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A11_240870	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E08_246720	yes	yes
NCIH526_LUNG	NCI-H526	H526	M	lung	carcinoma	small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A05_257606	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G09_293440	yes	yes
NCIH596_LUNG	NCI-H596	H596	M	lung	carcinoma	mixed_adenosquamous_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G11_569590	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H11_293468	yes	yes
NCIH647_LUNG	NCI-H647	H647	M	lung	carcinoma	mixed_adenosquamous_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A10_296008	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G04_256152	yes	yes
NCIH650_LUNG	NCI-H650	H650	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G12_569550	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312	yes	yes
NCIH661_LUNG	NCI-H661	H661	M	lung	carcinoma	large_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C02_296040	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B09_335228	yes	yes
NCIH69_LUNG	NCI-H69	H69	M	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C02_454610	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D04_437520	yes	yes
NCIH727_LUNG	NCI-H727	H727	F	lung	carcinoid-endocrine_tumour	NS		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C12_474736	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H12_464628	yes	yes
NCIH810_LUNG	NCI-H810	H810	M	lung	carcinoma	large_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G07_241198	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A07_335200	yes	yes
NCIH82_LUNG	NCI-H82	H82	M	lung	carcinoma	small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D08_383708	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E11_335304	yes	yes
NCIH838_LUNG	NCI-H838	H838	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F11_698878	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196	yes	yes
NCIH841_LUNG	NCI-H841	H841	M	lung	carcinoma	small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B09_474584	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D04_542788	yes	yes
NCIH854_LUNG	NCI-H854	H854		lung	carcinoma	adenocarcinoma		KCLB	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_A12_587660	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B10_698628	yes	yes
NCIH889_LUNG	NCI-H889	H889	F	lung	carcinoma	small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C05_240906	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D10_246700	yes	yes
